lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,temperature,alpha_prior,temperature_prior,pe,value.1,value.2,theta.1,theta.2,log_lik
# Adaptation terminated
# Step size = 0.152006
# Diagonal elements of inverse mass matrix:
# 0.648707, 1.61908
-15.0796,0.999216,0.152006,3,7,0,15.3735,0.956239,12.6492,0.156401,13.2621,0.00382269,-0.999993,0.999833,1.08166e-11,1,-10.4468
-15.4777,0.996271,0.152006,3,15,0,15.993,0.952871,8.93551,0.259303,17.8223,0.00443236,-0.999991,0.999791,1.80282e-08,1,-10.9769
-14.5537,0.999697,0.152006,4,15,0,15.8185,0.792548,10.1949,0.655437,14.6652,0.0823683,-0.997061,0.982913,3.33036e-09,1,-11.3617
-15.5532,0.999465,0.152006,4,15,0,15.905,0.961345,11.5644,0.749394,10.7872,0.00298391,-0.999996,0.999885,9.33856e-11,1,-10.8496
-14.6439,0.999839,0.152006,2,7,0,16.0347,0.947601,12.1635,0.0924378,11.9158,0.00547617,-0.999986,0.999713,2.91016e-11,1,-10.207
-13.6586,0.996084,0.152006,4,19,0,15.4428,0.910898,10.9678,0.156505,15.2193,0.0157524,-0.999885,0.998596,3.54057e-10,1,-9.75157
-13.3314,0.999786,0.152006,4,23,0,13.801,0.841036,8.13487,0.121427,18.75,0.0492622,-0.998925,0.992169,1.29413e-07,1,-9.89748
-13.4591,0.999969,0.152006,4,15,0,13.4764,0.88943,9.70684,0.223232,8.65502,0.0241524,-0.999734,0.997329,4.69556e-09,1,-9.75269
-14.3644,0.994742,0.152006,4,31,0,14.4773,0.932776,16.2403,0.155454,13.5866,0.00899739,-0.999962,0.999395,9.06918e-15,1,-9.71549
-13.4109,0.998828,0.152006,4,23,0,14.6614,0.879517,9.67207,0.906069,12.3837,0.0286109,-0.999629,0.996553,5.25637e-09,1,-9.77891
-13.744,0.992839,0.152006,3,7,0,13.8532,0.868929,11.7539,0.0520304,12.0216,0.0337691,-0.999487,0.995574,9.241e-11,1,-10.1539
-14.3181,0.998824,0.152006,4,23,0,15.1582,0.809989,3.56464,0.347656,18.4895,0.0696017,-0.997887,0.986775,0.00103363,0.998966,-10.5257
-13.6853,0.997391,0.152006,2,7,0,14.8977,0.757982,3.99607,0.281298,6.90221,0.110284,-0.994787,0.973309,0.000536129,0.999464,-10.1561
-13.4075,0.998162,0.152006,3,11,0,14.1349,0.820075,5.57875,0.689783,4.86911,0.0626497,-0.99828,0.988728,2.04319e-05,0.99998,-9.89016
-13.7863,0.998952,0.152006,4,15,0,13.9911,0.679768,4.56893,0.53474,0.0230608,0.184065,-0.985592,0.941057,0.000266185,0.999734,-10.5258
-13.7593,0.997646,0.152006,3,7,0,13.9116,0.706575,3.8215,0.477294,13.314,0.157371,-0.989469,0.953823,0.000909814,0.99909,-10.3187
-13.3289,0.999573,0.152006,4,23,0,14.0795,0.798195,6.50703,0.357523,4.80723,0.0781331,-0.99735,0.984232,3.77013e-06,0.999996,-9.98663
-14.2892,0.976887,0.152006,3,9,0,15.4379,0.675302,5.80714,0.0553134,8.13703,0.188628,-0.984864,0.938753,2.95029e-05,0.99997,-11.1921
-13.781,0.999678,0.152006,3,7,0,14.3859,0.777059,3.94748,0.872649,13.0028,0.0944648,-0.996155,0.97894,0.000548986,0.999451,-10.1854
-13.414,1,0.152006,3,7,0,13.8757,0.797857,7.17768,0.849826,19.7869,0.0783839,-0.997333,0.984155,1.0428e-06,0.999999,-10.1201
-13.437,0.999642,0.152006,3,7,0,13.4586,0.837558,5.92843,0.442339,6.47411,0.0513821,-0.998833,0.991653,9.68116e-06,0.99999,-9.87471
-16.7814,0.945158,0.152006,4,19,0,18.6124,0.972086,9.56647,0.404943,1.65549,0.00155715,-0.999999,0.999957,4.97905e-09,1,-11.7863
-16.7299,0.999757,0.152006,2,3,0,16.7828,0.971732,9.66776,0.15031,10.5777,0.00159686,-0.999999,0.999955,4.06817e-09,1,-11.7478
-17.2584,0.990365,0.152006,3,15,0,17.7418,0.967562,6.12023,0.941802,10.6164,0.00210218,-0.999998,0.999932,4.89359e-06,0.999995,-12.2475
-18.2701,0.993756,0.152006,3,15,0,18.9797,0.976547,5.11657,0.0248966,16.307,0.00109951,-0.999999,0.999974,3.61601e-05,0.999964,-12.8349
-15.2155,0.99736,0.152006,4,15,0,18.9895,0.953628,17.6036,0.300314,15.2782,0.00429141,-0.999991,0.999801,5.52812e-16,1,-9.84752
-13.3559,0.991979,0.152006,4,23,0,17.2986,0.79734,5.46323,0.756676,12.2156,0.0787683,-0.997307,0.984037,2.80522e-05,0.999972,-9.91648
-13.738,0.998863,0.152006,4,31,0,14.0949,0.913559,12.797,0.631066,2.19829,0.0148324,-0.999898,0.998718,9.28167e-12,1,-9.73149
-15.3575,0.994701,0.152006,4,31,0,15.3978,0.940851,18.6362,0.373022,18.5206,0.00697281,-0.999977,0.999588,7.40325e-17,1,-9.71278
-14.3606,0.995121,0.152006,4,31,0,17.1716,0.921762,7.88915,0.619833,11.542,0.0121675,-0.999931,0.999048,1.54701e-07,1,-10.2993
-13.475,0.998856,0.152006,4,31,0,15.5633,0.749475,5.70606,0.340463,1.32133,0.117648,-0.99408,0.970526,2.23862e-05,0.999978,-10.2123
