lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,temperature,alpha_prior,temperature_prior,pe,value.1,value.2,theta.1,theta.2,log_lik
# Adaptation terminated
# Step size = 0.229321
# Diagonal elements of inverse mass matrix:
# 0.626041, 1.61151
-14.6509,1,0.229321,3,7,0,15.6803,0.782724,3.0821,0.866344,12.6653,0.0899602,-0.996506,0.980454,0.00279767,0.997202,-10.8418
-13.5534,0.950943,0.229321,3,15,0,16.2061,0.86086,10.4677,0.0640938,6.38863,0.0379703,-0.999355,0.994717,1.21171e-09,1,-10.0428
-13.9694,0.959531,0.229321,2,7,0,16.6745,0.704179,3.47193,0.837111,6.05686,0.159704,-0.989156,0.952756,0.00174068,0.998259,-10.459
-13.502,0.981353,0.229321,2,7,0,15.2409,0.754921,4.47067,0.500098,1.17442,0.112913,-0.99454,0.972327,0.000222104,0.999778,-10.0635
-13.3783,0.972857,0.229321,3,15,0,14.3627,0.773046,5.93014,0.221982,3.89963,0.0977104,-0.995891,0.977824,1.29231e-05,0.999987,-10.0705
-13.4607,0.959695,0.229321,3,11,0,14.4678,0.88726,9.05888,0.290987,4.43824,0.0250974,-0.999713,0.997171,1.70383e-08,1,-9.76326
-13.3922,0.945001,0.229321,3,7,0,15.5164,0.791851,6.81786,0.0278658,8.45228,0.0828979,-0.997024,0.982745,2.14957e-06,0.999998,-10.0963
-13.7785,0.994066,0.229321,3,15,0,14.5764,0.913298,9.76761,0.772645,9.61974,0.0149214,-0.999897,0.998706,3.79925e-09,1,-9.85565
-13.7677,0.998921,0.229321,3,11,0,14.2193,0.918248,12.4549,0.366576,10.9709,0.0132775,-0.999918,0.998915,1.79487e-11,1,-9.72993
-13.95,0.91737,0.229321,3,11,0,16.4862,0.879765,13.1542,0.485925,11.3118,0.0284951,-0.999632,0.996574,5.48602e-12,1,-10.2125
-14.5222,1,0.229321,3,7,0,14.6312,0.946041,15.1317,0.583349,17.7487,0.00580624,-0.999984,0.999687,7.85366e-14,1,-9.85523
-17.8387,0.928561,0.229321,3,15,0,19.5137,0.901744,19.7747,0.0532365,19.4526,0.0191219,-0.999832,0.998121,9.76194e-18,1,-10.9175
-16.9382,1,0.229321,3,7,0,17.9984,0.913975,19.6255,0.444241,1.59656,0.0146909,-0.9999,0.998736,1.20118e-17,1,-10.3984
-18.3728,0.93504,0.229321,2,3,0,18.5214,0.873749,19.6082,0.0839521,16.9188,0.0313706,-0.999556,0.996039,1.73562e-17,1,-12.2159
-16.791,1,0.229321,3,7,0,18.5569,0.948062,19.6538,0.986869,7.64603,0.00538066,-0.999986,0.999721,9.44009e-18,1,-9.70606
-17.9409,0.950586,0.229321,3,15,0,19.8387,0.859751,19.0396,0.430519,15.1466,0.0385656,-0.999335,0.994591,6.12091e-17,1,-12.7402
-17.4734,0.964997,0.229321,3,7,0,20.0567,0.853151,18.3565,0.964154,16.6881,0.0421991,-0.999206,0.993803,2.50305e-16,1,-12.8115
-13.9722,0.996999,0.229321,3,7,0,17.7642,0.923042,14.4116,0.881225,12.5256,0.0117749,-0.999935,0.999094,3.60035e-13,1,-9.72493
-15.1695,0.983543,0.229321,4,15,0,15.3513,0.93595,18.4049,0.426961,1.7717,0.00817105,-0.999968,0.999477,1.20036e-16,1,-9.74331
-15.6183,0.998812,0.229321,2,7,0,15.7823,0.934813,18.9916,0.360742,1.13349,0.0084626,-0.999966,0.999448,3.75099e-17,1,-9.78123
-13.9393,0.99568,0.229321,4,15,0,15.9208,0.919265,14.3504,0.115584,18.8621,0.0129514,-0.999922,0.998954,4.13634e-13,1,-9.74244
-13.9113,0.99997,0.229321,2,3,0,13.9446,0.919356,14.1356,0.27607,12.643,0.0129225,-0.999922,0.998958,6.33499e-13,1,-9.73559
-14.8692,0.997089,0.229321,3,15,0,15.0157,0.944862,17.4238,0.982013,3.54702,0.00606198,-0.999983,0.999666,8.16348e-16,1,-9.72723
-17.5097,0.934241,0.229321,3,7,0,18.0792,0.828249,17.0514,0.846463,8.89027,0.0572565,-0.998558,0.990166,4.20728e-15,1,-13.4856
-14.4894,1,0.229321,3,7,0,17.5033,0.903935,16.2185,0.298096,12.2326,0.0182867,-0.999846,0.998243,1.10323e-14,1,-10.1705
-13.8333,0.999497,0.229321,4,15,0,14.5372,0.921813,12.9012,0.193318,14.5648,0.0121515,-0.999931,0.99905,7.28803e-12,1,-9.72903
-13.8774,0.982332,0.229321,2,5,0,14.5268,0.910297,14.0445,0.614244,14.296,0.0159638,-0.999882,0.998568,7.9286e-13,1,-9.80727
-13.8645,0.987189,0.229321,4,19,0,14.6025,0.748391,7.035,0.294583,17.4304,0.118599,-0.993985,0.970159,1.86296e-06,0.999998,-10.7165
-14.208,0.953864,0.229321,3,7,0,14.9555,0.709179,3.21521,0.83319,0.726429,0.154847,-0.989803,0.954967,0.00273259,0.997267,-10.6262
-14.6487,0.840307,0.229321,2,3,0,15.9888,0.750739,2.96378,0.596704,6.86085,0.116541,-0.994189,0.970951,0.00381522,0.996185,-10.9031
-14.0564,0.99341,0.229321,3,11,0,15.8086,0.896222,14.4181,0.873022,1.28985,0.0213077,-0.999792,0.997789,4.0864e-13,1,-10.0778
-13.5659,1,0.229321,3,7,0,14.0777,0.902678,10.4926,0.8143,0.945467,0.0187636,-0.999838,0.998174,9.38544e-10,1,-9.74505
-13.5594,0.982851,0.229321,3,15,0,15.5676,0.719619,4.95677,0.606433,9.44915,0.144867,-0.991067,0.959382,0.000106083,0.999894,-10.279
-14.0418,0.947134,0.229321,3,7,0,14.5064,0.659564,4.84489,0.0067259,13.7471,0.20493,-0.982101,0.930235,0.000182206,0.999818,-10.8529
-14.827,0.917462,0.229321,2,7,0,15.2792,0.733036,2.82724,0.485347,10.4288,0.132381,-0.992527,0.964659,0.00517322,0.994827,-11.0869
-14.1084,0.841702,0.229321,3,7,0,16.1418,0.693461,3.32133,0.866428,15.4224,0.170273,-0.987676,0.947805,0.00238493,0.997615,-10.5829
-13.4209,0.922716,0.229321,3,15,0,15.2747,0.880591,9.85495,0.726149,16.0493,0.0281105,-0.999642,0.996643,3.64708e-09,1,-9.78204
-14.2428,0.993906,0.229321,3,15,0,15.5324,0.653425,3.30373,0.633194,6.62789,0.211374,-0.980937,0.926743,0.00288268,0.997117,-10.7764
-13.6908,0.97992,0.229321,4,15,0,14.6493,0.848133,5.37429,0.197628,2.98272,0.0450634,-0.999097,0.993156,2.74932e-05,0.999973,-10.0143
-15.7702,0.945585,0.229321,3,15,0,18.4493,0.955568,18.6746,0.658867,18.6815,0.00394054,-0.999993,0.999825,6.47901e-17,1,-9.82836
-16.0715,0.989039,0.229321,4,15,0,16.6986,0.886296,18.2949,0.971837,19.8923,0.0255227,-0.999704,0.997098,2.06258e-16,1,-11.2254
-16.7523,0.970597,0.229321,2,3,0,16.9541,0.867255,18.2353,0.498644,2.40556,0.0346213,-0.999461,0.995404,2.75062e-16,1,-12.0704
-16.3841,0.998784,0.229321,4,15,0,18.2549,0.953126,19.3917,0.425763,17.4563,0.00438474,-0.999991,0.999794,1.56182e-17,1,-9.75218
-13.299,0.983058,0.229321,4,15,0,17.5796,0.814548,6.50587,0.857404,19.4406,0.0664189,-0.998072,0.987683,3.48486e-06,0.999997,-9.89241
-14.0921,0.95947,0.229321,3,15,0,14.8852,0.933834,13.7741,0.512153,8.72657,0.00871742,-0.999964,0.999423,1.22556e-12,1,-9.76808
-15.0827,0.949848,0.229321,3,15,0,16.5689,0.691667,2.68126,0.232774,18.0612,0.172062,-0.987416,0.946948,0.00763427,0.992366,-11.3841
-14.8545,1,0.229321,2,3,0,15.2466,0.701068,2.78728,0.267958,17.4252,0.16275,-0.98874,0.951349,0.00612313,0.993877,-11.171
-13.7057,0.956266,0.229321,3,11,0,17.9906,0.910367,9.92634,0.179346,4.84433,0.0159389,-0.999882,0.998571,2.80097e-09,1,-9.81338
-14.4428,0.967468,0.229321,3,7,0,14.9703,0.902025,5.91553,0.21194,5.55484,0.0190139,-0.999834,0.998137,8.14909e-06,0.999992,-10.4478
-14.1167,0.988904,0.229321,3,11,0,15.1982,0.730914,7.04989,0.259343,18.969,0.134329,-0.992308,0.963854,2.0482e-06,0.999998,-11.0132
-13.4311,0.967789,0.229321,3,9,0,15.2342,0.836407,8.7657,0.381964,2.74664,0.0520926,-0.998801,0.991478,3.88229e-08,1,-10.0405
-14.0833,0.999639,0.229321,4,15,0,14.3074,0.929162,14.7847,0.545346,1.50144,0.00998579,-0.999953,0.999293,1.66952e-13,1,-9.71624
-13.3463,0.974173,0.229321,3,15,0,15.3959,0.821376,7.60258,0.988961,9.19079,0.0617773,-0.998327,0.988965,4.0363e-07,1,-9.98154
-13.7078,0.99937,0.229321,4,15,0,13.9973,0.914111,10.963,0.28862,9.80226,0.0146451,-0.999901,0.998742,3.53048e-10,1,-9.76764
-13.2978,0.998443,0.229321,3,15,0,14.2554,0.830643,7.21394,0.961176,13.6895,0.055718,-0.998633,0.990564,8.18272e-07,0.999999,-9.86937
-13.5528,0.944304,0.229321,1,3,0,14.1695,0.848553,5.82888,0.853864,19.0692,0.0448201,-0.999107,0.993212,1.1293e-05,0.999989,-9.92361
-13.7532,0.995534,0.229321,3,15,0,14.6216,0.906546,8.88283,0.392265,6.06409,0.0173149,-0.999862,0.998382,2.24803e-08,1,-9.88595
-14.5706,0.954018,0.229321,2,7,0,15.9713,0.832154,12.2134,0.556008,4.83065,0.0547574,-0.998678,0.990809,4.88696e-11,1,-11.1656
-15.1402,0.958383,0.229321,2,7,0,15.8652,0.7885,11.1102,0.539798,4.77894,0.0854622,-0.99684,0.981925,5.9894e-10,1,-11.9503
-16.3006,0.922458,0.229321,3,7,0,17.392,0.928732,4.04979,0.831883,8.97304,0.0101068,-0.999952,0.99928,0.000316313,0.999684,-11.762
-14.6857,0.997284,0.229321,2,3,0,16.46,0.921496,6.80379,0.880789,11.9798,0.0122499,-0.99993,0.999038,1.33877e-06,0.999999,-10.5653
-14.7584,0.998159,0.229321,4,31,0,16.044,0.927488,17.5932,0.0689517,1.46712,0.0104608,-0.999949,0.999241,6.29627e-16,1,-9.81343
-13.9507,0.999982,0.229321,3,7,0,14.8505,0.919992,14.4056,0.79056,9.91338,0.0127206,-0.999925,0.998982,3.69415e-13,1,-9.73963
